actor,show,year,top_cast
Patricia Arquette,A Single Woman,2008,Peter Coyote
Patricia Arquette,A Single Woman,2008,Joyce Julianne Auer
Patricia Arquette,A Single Woman,2008,Karen Black
Patricia Arquette,A Single Woman,2008,Patricia Arquette
Patricia Arquette,A Single Woman,2008,Jeanmarie Simpson
Patricia Arquette,A Single Woman,2008,Traber Burns
Patricia Arquette,A Single Woman,2008,Cameron Crain
Jennifer Jason Leigh,A Thousand Acres,1997,Michelle Williams
Jennifer Jason Leigh,A Thousand Acres,1997,Jason Robards
Jennifer Jason Leigh,A Thousand Acres,1997,Colin Firth
Jennifer Jason Leigh,A Thousand Acres,1997,Michelle Pfeiffer
Jennifer Jason Leigh,A Thousand Acres,1997,Jennifer Jason Leigh
Jennifer Jason Leigh,A Thousand Acres,1997,Elisabeth Moss
Jennifer Jason Leigh,A Thousand Acres,1997,Jessica Lange
Jennifer Jason Leigh,A Thousand Acres,1997,Keith Carradine
Allison Janney,A Thousand Words,2012,Eddie Murphy
Allison Janney,A Thousand Words,2012,Clark Duke
Allison Janney,A Thousand Words,2012,Kerry Washington
Allison Janney,A Thousand Words,2012,Allison Janney
Allison Janney,A Thousand Words,2012,Cliff Curtis
Rosamund Pike,A United Kingdom,2016,Tom Felton
Rosamund Pike,A United Kingdom,2016,David Oyelowo
Rosamund Pike,A United Kingdom,2016,Terry Pheto
Rosamund Pike,A United Kingdom,2016,Vusi Kunene
Rosamund Pike,A United Kingdom,2016,read the rest.
Rosamund Pike,A United Kingdom,2016,Jack Davenport
Rosamund Pike,A United Kingdom,2016,Jessica Oyelowo
Rosamund Pike,A United Kingdom,2016,Rosamund Pike
Rosamund Pike,A United Kingdom,2016,Laura Carmichael
Emma Stone,A Way In,2014,Emma Stone
Isabelle Huppert,A Woman's Revenge,1990,Laurence C̫te
Isabelle Huppert,A Woman's Revenge,1990,Jean-Louis Murat
Isabelle Huppert,A Woman's Revenge,1990,Isabelle Huppert
Isabelle Huppert,A Woman's Revenge,1990,B̩atrice Dalle
Patricia Arquette,Abby Singer,2003,Mycole Metcalf
Patricia Arquette,Abby Singer,2003,Robert Bear
Patricia Arquette,Abby Singer,2003,Ken Farrman
Patricia Arquette,Abby Singer,2003,Gloria Smith
Patricia Arquette,Abby Singer,2003,Ryan R. Williams
Patricia Arquette,Abby Singer,2003,Robin Ballard
Patricia Arquette,Abby Singer,2003,Clint J. Palmer
Patricia Arquette,Abby Singer,2003,Andrea Hullsman
Charlotte Rampling,Aberdeen,2000,Kate Lynn Evans
Charlotte Rampling,Aberdeen,2000,Ian Hart
Charlotte Rampling,Aberdeen,2000,Jason Hetherington
Charlotte Rampling,Aberdeen,2000,Charlotte Rampling
Charlotte Rampling,Aberdeen,2000,John Killoran
Charlotte Rampling,Aberdeen,2000,Lena Headey
Charlotte Rampling,Aberdeen,2000,Stellan Skarsg̴rd
Charlotte Rampling,Aberdeen,2000,Louise Goodall
Dev Patel,About Cherry,2012,Dev Patel
Dev Patel,About Cherry,2012,Ashley Grace
Dev Patel,About Cherry,2012,Lili Taylor
Dev Patel,About Cherry,2012,Lorelei Lee
Dev Patel,About Cherry,2012,Diane Farr
Dev Patel,About Cherry,2012,James Franco
Dev Patel,About Cherry,2012,Jonny Weston
Dev Patel,About Cherry,2012,Heather Graham
Rachel McAdams,About Time,2013,Lydia Wilson
Rachel McAdams,About Time,2013,Joshua McGuire
Rachel McAdams,About Time,2013,Richard Cordery
Rachel McAdams,About Time,2013,Tom Hollander
Rachel McAdams,About Time,2013,Domhnall Gleeson
Rachel McAdams,About Time,2013,Lindsay Duncan
Rachel McAdams,About Time,2013,Rachel McAdams
Rachel McAdams,About Time,2013,Bill Nighy
Margot Robbie,About Time,2013,Lindsay Duncan
Margot Robbie,About Time,2013,Bill Nighy
Margot Robbie,About Time,2013,Lydia Wilson
Margot Robbie,About Time,2013,Rachel McAdams
Margot Robbie,About Time,2013,Domhnall Gleeson
J.K. Simmons,Above Freezing,1998,J.K. Simmons
J.K. Simmons,Above Freezing,1998,Mike O'Malley
J.K. Simmons,Above Freezing,1998,Scott Bryce
J.K. Simmons,Above Freezing,1998,Jill Tracy
J.K. Simmons,Above Freezing,1998,Phyllis Somerville
Isabelle Huppert,Abuse of Weakness,2013,Laurence Ursino
Isabelle Huppert,Abuse of Weakness,2013,Christophe Sermet
Isabelle Huppert,Abuse of Weakness,2013,Ronald Leclercq
Isabelle Huppert,Abuse of Weakness,2013,Daphn̩ Baiwir
Isabelle Huppert,Abuse of Weakness,2013,Fred Lebelge
Isabelle Huppert,Abuse of Weakness,2013,Kool Shen
Isabelle Huppert,Abuse of Weakness,2013,Isabelle Huppert
Ruth Negga,Ad Astra,2019,Tommy Lee Jones
Ruth Negga,Ad Astra,2019,Loren Dean
Ruth Negga,Ad Astra,2019,Liv Tyler
Ruth Negga,Ad Astra,2019,Donald Sutherland
Ruth Negga,Ad Astra,2019,John Ortiz
Ruth Negga,Ad Astra,2019,Greg Bryk
Ruth Negga,Ad Astra,2019,read the rest.
Ruth Negga,Ad Astra,2019,Ruth Negga
Ruth Negga,Ad Astra,2019,Brad Pitt
J.K. Simmons,Adventure Planet,2012,Thodsapol Siriwiwat
J.K. Simmons,Adventure Planet,2012,J.K. Simmons
J.K. Simmons,Adventure Planet,2012,Nuengthida Sophon
J.K. Simmons,Adventure Planet,2012,Bailee Madison
J.K. Simmons,Adventure Planet,2012,Noppan Chantasorn
J.K. Simmons,Adventure Planet,2012,Kongdej Jaturanrasmee
J.K. Simmons,Adventure Planet,2012,Athipich Chutiwatkajornchai
Naomie Harris,After the Sunset,2004,Mark Moses
Naomie Harris,After the Sunset,2004,Pierce Brosnan
Naomie Harris,After the Sunset,2004,Salma Hayek
Naomie Harris,After the Sunset,2004,Russell Hornsby
Naomie Harris,After the Sunset,2004,Woody Harrelson
Naomie Harris,After the Sunset,2004,Rex Linn
Naomie Harris,After the Sunset,2004,Michael Bowen
Naomie Harris,After the Sunset,2004,Troy Garity
Felicity Jones,Albatross,2011,Harry Treadaway
Felicity Jones,Albatross,2011,Sebastian Koch
Felicity Jones,Albatross,2011,Jessica Brown Findlay
Felicity Jones,Albatross,2011,Justin Edwards
Felicity Jones,Albatross,2011,Josef Altin
Felicity Jones,Albatross,2011,Julia Ormond
Felicity Jones,Albatross,2011,Felicity Jones
Felicity Jones,Albatross,2011,Peter Vaughan
Jennifer Jason Leigh,Alex of Venice,2015,Timm Sharp
Jennifer Jason Leigh,Alex of Venice,2015,Reg E. Cathey
Jennifer Jason Leigh,Alex of Venice,2015,Skylar Gaertner
Jennifer Jason Leigh,Alex of Venice,2015,Matthew Del Negro
Jennifer Jason Leigh,Alex of Venice,2015,read the rest.
Jennifer Jason Leigh,Alex of Venice,2015,Don Johnson
Jennifer Jason Leigh,Alex of Venice,2015,Mary Elizabeth Winstead
Jennifer Jason Leigh,Alex of Venice,2015,Chris Messina
Jennifer Jason Leigh,Alex of Venice,2015,Derek Luke
Steve Carell,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,Zoey Vargas
Steve Carell,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,Jennifer Garner
Steve Carell,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,Kerris Dorsey
Steve Carell,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,Ed Oxenbould
Steve Carell,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,Sidney Fullmer
Steve Carell,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,Dylan Minnette
Steve Carell,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,Steve Carell
Steve Carell,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,Elise Vargas
J.K. Simmons,Aliens in the Attic,2009,Austin Butler
J.K. Simmons,Aliens in the Attic,2009,Henri Young
J.K. Simmons,Aliens in the Attic,2009,Kevin Nealon
J.K. Simmons,Aliens in the Attic,2009,Ashley Boettcher
J.K. Simmons,Aliens in the Attic,2009,Robert Hoffman
J.K. Simmons,Aliens in the Attic,2009,Carter Jenkins
J.K. Simmons,Aliens in the Attic,2009,Tim Meadows
J.K. Simmons,Aliens in the Attic,2009,Doris Roberts
Mahershala Ali,Alita: Battle Angel,2019,Keean Johnson
Mahershala Ali,Alita: Battle Angel,2019,Christoph Waltz
Mahershala Ali,Alita: Battle Angel,2019,read the rest.
