web-scraper-order,web-scraper-start-url,productlink,productlink-href,productname,productprice,color
"1575163917-6842","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","TEXTURED WEAVE SUIT JACKET","https://www.zara.com/us/en/textured-weave-suit-jacket-p01564600.html","TEXTURED WEAVE SUIT JACKET Details","119.00 USD","Navy blue"
"1575164102-6926","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","BASIC BLAZER","https://www.zara.com/us/en/basic-blazer-p01608311.html","BASIC BLAZER Details","69.90 USD","Black"
"1575163909-6834","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","null","","","",""
"1575163961-6863","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","PLAID WOOL SUIT JACKET","https://www.zara.com/us/en/plaid-wool-suit-jacket-p00706598.html","PLAID WOOL SUIT JACKET Details","199.00 USD","Gray"
"1575164057-6905","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","TEXTURED SUIT JACKET","https://www.zara.com/us/en/textured-suit-jacket-p04024500.html","TEXTURED SUIT JACKET Details","119.00 USD","Camel"
"1575164003-6882","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","TEXTURED CONTRASTING TRIM SUIT JACKET","https://www.zara.com/us/en/textured-contrasting-trim-suit-jacket-p05584613.html","TEXTURED CONTRASTING TRIM SUIT JACKET Details","119.00 USD","Gray"
"1575163915-6841","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","TEXTURED STRIPE SUIT JACKET","https://www.zara.com/us/en/textured-stripe-suit-jacket-p07380602.html","TEXTURED STRIPE SUIT JACKET Details","129.00 USD","Black"
"1575163980-6871","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","TEXTURED SUIT JACKET","https://www.zara.com/us/en/textured-suit-jacket-p00706358.html","TEXTURED SUIT JACKET Details","149.00 USD","Gray"
"1575163909-6822","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","null","","","",""
"1575164112-6931","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","COLORED SUIT JACKET","https://www.zara.com/us/en/colored-suit-jacket-p00706672.html","COLORED SUIT JACKET Details","149.00 USD","Violet"
"1575164069-6911","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","PADDED WATER REPELLENT TRAVELER BLAZER","https://www.zara.com/us/en/padded-water-repellent-traveler-blazer-p00706430.html","PADDED WATER REPELLENT TRAVELER BLAZER Details","129.00 USD","Navy blue"
"1575164071-6912","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","PADDED WATER REPELLENT TRAVELER BLAZER","https://www.zara.com/us/en/padded-water-repellent-traveler-blazer-p06518363.html","PADDED WATER REPELLENT TRAVELER BLAZER Details","119.00 USD","Navy blue"
"1575164094-6922","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","PLAID WAISTCOAT","https://www.zara.com/us/en/plaid-waistcoat-p01564392.html","PLAID WAISTCOAT Details","69.90 USD","Blue"
"1575164088-6919","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","4-WAYS STRETCH COMFORT KNIT SUIT BLAZER IN PLAID","https://www.zara.com/us/en/4-ways-stretch-comfort-knit-suit-blazer-in-plaid-p00706628.html","4-WAYS STRETCH COMFORT KNIT SUIT BLAZER IN PLAID Details","129.00 USD","Navy blue"
"1575163909-6837","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","null","","","",""
"1575164119-6934","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","METALLIC SPLATTER VELVET JACKET","https://www.zara.com/us/en/metallic-splatter-velvet-jacket-p04161310.html","METALLIC SPLATTER VELVET JACKET Details","89.90 USD","Black"
"1575163959-6862","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","TEXTURED PLAID BLAZER","https://www.zara.com/us/en/textured-plaid-blazer-p02880300.html","TEXTURED PLAID BLAZER Details","149.00 USD","Gray"
