date,Brand,Sub_Category,Description,group
11/20/20,Aritzia,coat,Wool plaid,Coats
11/21/20,Madewell,jeans,Demi-boot,Jeans
11/21/20,Monogram,sweatshirt,Club sandwich graphic,Sweaters & Sweatshirts
11/21/20,Aritzia,coat,Wool plaid,Coats
11/22/20,Madewell,jeans,High-waisted wide-leg,Jeans
11/22/20,Madewell,sweatshirt,Cropped quilted,Sweaters & Sweatshirts
11/22/20,Aritzia,coat,Wool plaid,Coats
11/23/20,Madewell,jeans,Wide-leg button-fly,Jeans
11/23/20,Madewell,bodysuit,Velvet wrap,Bodysuits
11/23/20,Aritzia,coat,Wool plaid,Coats
11/23/20,,shawl,Houndstooth blanket,Jackets
11/24/20,Madewell,jeans,High-waisted wide-leg,Jeans
11/24/20,The Reformation,tee,Long-sleeved cathedral print mock-neck,Knit Tops
11/24/20,Aritzia,coat,Wool plaid,Coats
11/25/20,The Reformation,jeans,Saddle,Jeans
11/25/20,Aritzia,tank,sweater bustier,Knit Tops
11/25/20,Aritzia,sweater,Boxy cardigan,Sweaters & Sweatshirts
11/25/20,Aritzia,coat,Wool plaid,Coats
11/26/20,Madewell,jeans,Demi-boot,Jeans
11/26/20,Monogram,sweatshirt,Club sandwich graphic,Sweaters & Sweatshirts
11/27/20,Paloma Wool,jumpsuit,Front-zip corduroy,Rompers & Jumpsuits
11/27/20,Uniqlo,sweater,Ribbed turtleneck,Sweaters & Sweatshirts
11/27/20,Aritzia,coat,Wool plaid,Coats
11/28/20,Madewell,jeans,Straight-leg,Jeans
11/28/20,Madewell,sweater,Textured yarn,Sweaters & Sweatshirts
11/28/20,Aritzia,coat,Wool plaid,Coats
11/29/20,Madewell,jeans,Demi-boot,Jeans
11/29/20,The Reformation,sweatshirt,Tie-dyed half-zip,Sweaters & Sweatshirts
11/29/20,Aritzia,coat,Wool plaid,Coats
11/30/20,Madewell,jeans,High-waisted wide-leg,Jeans
11/30/20,Leset,top,Long-sleeved wrap,Knit Tops
11/30/20,Aritzia,coat,Wool plaid,Coats
12/1/20,Madewell,jeans,Wide-leg button-fly,Jeans
12/1/20,Mango,bra top,Sweater,Knit Tops
12/1/20,Aritzia,sweater,Boxy cardigan,Sweaters & Sweatshirts
12/1/20,,shawl,Houndstooth blanket,Jackets
12/2/20,Madewell,jeans,Straight-leg,Jeans
12/2/20,Flat File,tee,Matisse graphic,Knit Tops
12/2/20,Aritzia,coat,Wool plaid,Coats
12/3/20,Madewell,jeans,High-waisted wide-leg,Jeans
12/3/20,Madewell,sweater,Textured yarn,Sweaters & Sweatshirts
12/3/20,Aritzia,coat,Wool plaid,Coats
12/4/20,The Reformation,jeans,Saddle,Jeans
12/4/20,Aritzia,sweater,Boxy cardigan,Sweaters & Sweatshirts
12/4/20,Aritzia,coat,Wool plaid,Coats
12/5/20,Madewell,jeans,Wide-leg button-fly,Jeans
12/5/20,Monogram,sweatshirt,Club sandwich graphic,Sweaters & Sweatshirts
12/5/20,Aritzia,coat,Wool plaid,Coats
12/6/20,Madewell,jeans,Skinny,Jeans
12/6/20,Madewell,sweatshirt,Cropped quilted,Sweaters & Sweatshirts
12/6/20,Aritzia,coat,Wool plaid,Coats
12/7/20,Madewell,jeans,Demi-boot,Jeans
12/7/20,The Reformation,sweatshirt,Tie-dyed half-zip,Sweaters & Sweatshirts
12/8/20,Madewell,jeans,High-waisted wide-leg,Jeans
12/8/20,Leset,top,Long-sleeved wrap,Knit Tops
12/8/20,Aritzia,coat,Wool plaid,Coats
12/9/20,Madewell,jeans,Skinny,Jeans
12/9/20,Sezane,sweater,Drapey color-block,Sweaters & Sweatshirts
12/10/20,The Reformation,jeans,Saddle,Jeans
12/10/20,Aritzia,tank,sweater bustier,Knit Tops
12/10/20,Aritzia,sweater,Boxy cardigan,Sweaters & Sweatshirts
12/11/20,Madewell,jeans,Straight-leg,Jeans
12/11/20,Uniqlo,sweater,Ribbed turtleneck,Sweaters & Sweatshirts
12/11/20,Aritzia,coat,Wool plaid,Coats
12/12/20,Madewell,jeans,Demi-boot,Jeans
12/12/20,Monogram,sweatshirt,Club sandwich graphic,Sweaters & Sweatshirts
12/12/20,Aritzia,coat,Wool plaid,Coats
12/13/20,Madewell,jeans,Skinny,Jeans
12/13/20,Madewell,sweatshirt,Cropped quilted,Sweaters & Sweatshirts
12/13/20,Aritzia,coat,Wool plaid,Coats
12/14/20,Madewell,jeans,High-waisted wide-leg,Jeans
12/14/20,Madewell,sweater,Textured yarn,Sweaters & Sweatshirts
12/14/20,Aritzia,coat,Wool plaid,Coats
12/15/20,The Reformation,jeans,Saddle,Jeans
12/15/20,,shirt,Striped,Woven Tops
12/15/20,Aritzia,coat,Wool plaid,Coats
12/16/20,Madewell,jeans,Demi-boot,Jeans
12/16/20,The Reformation,sweatshirt,Tie-dyed half-zip,Sweaters & Sweatshirts
12/16/20,Aritzia,coat,Wool plaid,Coats
12/17/20,Madewell,jeans,Wide-leg button-fly,Jeans
12/17/20,Loft,tee,Cardigan,Knit Tops
12/18/20,Madewell,jeans,Wide-leg button-fly,Jeans
12/18/20,Flat File,tee,Matisse graphic,Knit Tops
12/18/20,Aritzia,coat,Wool plaid,Coats
12/19/20,Madewell,jeans,Skinny,Jeans
12/19/20,Madewell,sweatshirt,Cropped quilted,Sweaters & Sweatshirts
12/19/20,Aritzia,coat,Wool plaid,Coats
12/20/20,The Reformation,jeans,Saddle,Jeans
12/20/20,Monogram,sweatshirt,Club sandwich graphic,Sweaters & Sweatshirts
12/20/20,Aritzia,coat,Wool plaid,Coats
