CAMPUS_NAME,WALK_COUNT,CITY,STATE,ZIPCODE,LATITUDE,LONGITUDE
Tidewater Community College- Virginia Beach,1,Virginia Beach,VA,23453,36.79,-76.1
Eastern Connecticut State University,1,Windham,CT,6226,41.72,-72.22
Tennessee State University - (Main),2,Nashville,TN,37209,36.17,-86.83
Taft College,2,Taft,CA,93268,35.15,-119.46
Nichols College,7,Dudley,MA,1571,42.04,-71.93
Belmont University,2,Nashville,TN,37212,36.13,-86.79
University of California-Merced (Castle),1,Atwater,CA,95301,37.37,-120.58
University of North Georgia - Oconee,1,Watkinsville,GA,30677,33.866211,-83.425797
Florida International University - University Park,2,Miami,FL,33174,25.76,-80.38
University of North Carolina at Asheville,1,Asheville,NC,28804,35.62,-82.57
University of Puget Sound,1,Tacoma,WA,98416,47.26,-122.48
Pennsylvania State University-Penn State Shenango,1,Sharon,PA,16146,41.24,-80.51
Whitworth University,1,Spokane,WA,99218,47.75,-117.42
Emory University - (Main),1,Atlanta,GA,30322,33.79,-84.32
St. Mary's University,17,San Antonio,TX,78228,29.45,-98.56
American River College,1,Sacramento,CA,95841,38.65,-121.35
Mountwest Community and Technical College,1,Huntington,WV,25701,38.39,-82.46
Dodge City Community College,1,Dodge City,KS,67801,37.77,-100.03
Seminole State College,2,Seminole,OK,74868,35.25,-96.7
Palm Beach Atlantic University,2,West Palm Beach,FL,33401,26.7,-80.05
Art Center College of Design,1,Pasadena,CA,91103,34.17,-118.19
Thaddeus Stevens College of Technology,1,Lancaster,PA,17602,40.04,-76.29
Michigan State University,1,East Lansing,MI,48824,42.7,-84.48
Park University,1,Parkville,MO,64152,39.19,-94.68
Williamson Christian College,1,Franklin,TN,37067,35.96,-86.83
Ohio Wesleyan University,1,Delaware,OH,43015,40.29,-83.07
College of Central Florida - Ocala,1,Ocala,FL,34474,29.16,-82.18
Pasco-Hernando State College- New Port Richey,1,New Port Richey,FL,34654,28.28,-82.65
Seminole State College of Florida- Altamonte Springs,2,Altamonte Springs,FL,32714,28.65,-81.42
University of Houston-Clear Lake,1,Houston,TX,77058,29.5812422,-95.0986427
George Mason University- (Main),4,Fairfax,VA,22030,38.83,-77.31
Lorain County Community College - Elyria Campus (Main),1,Elyria,OH,44035,41.41,-82.07
Southern California Institute of Architecture,2,Los Angeles,CA,90013,34.04,-118.23
Ohlone College,1,Fremont,CA,94539,37.53,-121.91
Hope College,1,Holland,MI,49423,42.79,-86.1
Hendrix College,1,Conway,AR,72032,35.1,-92.44
Iowa Western Community College- Council Bluffs (Main),6,Council Bluffs,IA,51503,41.27,-95.8
Kilgore College,1,Kilgore,TX,75662,32.38,-94.87
City College-Gainesville,1,Gainesville,FL,32607,29.65,-82.42
Pennsylvania State University-Penn State Hazleton,1,Hazleton,PA,18202,40.98,-76.03
Florida State University - (Main),4,Tallahassee,FL,32304,30.44,-84.29
University of Wisconsin-Green Bay,5,Green Bay,WI,54311,44.53,-87.92
Virginia State University,1,Petersburg,VA,23806,37.24,-77.42
Athens State University,3,Athens,AL,35611,34.8,-86.96
La Sierra University,3,Riverside,CA,92505,33.91,-117.5
Central Piedmont Community College- Central (Main),1,Charlotte,NC,28204,35.22,-80.83
Nassau Community College,1,Garden City,NY,11530,40.73,-73.59
Mars Hill University,1,Mars Hill,NC,28754,35.83,-82.55
University of Mary Hardin-Baylor,1,Belton,TX,76513,31.07,-97.47
Georgia Southwestern State University,1,Americus,GA,31709,32.06,-84.22
University of Detroit Mercy - Riverfront,1,Detroit,MI,48226,42.33,-83.04
Valencia College- Poinciana,1,Kissimmee,FL,34746,28.2,-81.44
Aultman College of Nursing and Health Sciences,1,Canton,OH,44710,40.8,-81.4
The University of Texas at Dallas,1,Richardson,TX,75080,32.98,-96.75
Towson University,1,Towson,MD,21252,39.39365,-76.604424
John Tyler Community College- Chester (Main),1,Chester,VA,23831,37.35,-77.41
Texas State University,2,San Marcos,TX,78666,29.89,-97.94
St Cloud Technical and Community College,2,St. Cloud,MN,56303,45.58,-94.18
Pennsylvania State University-Penn State Schuylkill,2,Schuylkill Haven,PA,17972,40.64,-76.17
University of Rochester- River Campus (Main),1,Rochester,NY,14611,43.13,-77.63
Life University,1,Marietta,GA,30062,33.93,-84.51
Navarro College- Waxahachie,2,Waxahachie,TX,75165,32.42,-96.86
Union Institute & University,1,Cincinnati,OH,45206,39.13,-84.5
Moreno Valley College,1,Moreno Valley,CA,92551,33.89,-117.2
Lawrence Technological University,1,Southfield,MI,48075,42.48,-83.25
Technical College of the Lowcountry- Beaufort (Main),1,Beaufort,SC,29902,32.42,-80.69
Tunxis Community College,1,Farmington,CT,6032,41.71,-72.88
University of Saint Mary,1,Leavenworth,KS,66048,39.28,-94.91
Pima Community College- Northwest,1,Tucson,AZ,85741,32.34,-111.03
Gwynedd Mercy University,1,Gwynedd Valley,PA,19002,40.19,-75.24
University of Maryland-College Park,4,College Park,MD,20742,38.99,-76.94
New York University,1,New York,NY,10012,40.73,-74
