actor,show,year,top_cast,episodes
Benedict Cumberbatch,GMTV,1993,Eamonn Holmes,1
Benedict Cumberbatch,GMTV,1993,Martin Lewis,1
Benedict Cumberbatch,GMTV,1993,Jamie Rickers,1
Benedict Cumberbatch,GMTV,1993,Richard Arnold,1
Benedict Cumberbatch,GMTV,1993,Alison Hammond,1
Benedict Cumberbatch,GMTV,1993,Clare Nasir,1
Benedict Cumberbatch,GMTV,1993,Kirsty McCabe,1
Benedict Cumberbatch,GMTV,1993,Anthea Turner,1
Benedict Cumberbatch,GMTV,1993,Dan Lobb,1
Benedict Cumberbatch,Heartbeat,1992,Derek Fowlds,1
Benedict Cumberbatch,Heartbeat,1992,John Duttine,1
Benedict Cumberbatch,Heartbeat,1992,Geoffrey Hughes,1
Benedict Cumberbatch,Heartbeat,1992,Bill Maynard,1
Benedict Cumberbatch,Heartbeat,1992,Ryan Early,1
Benedict Cumberbatch,Heartbeat,1992,William Simons,1
Benedict Cumberbatch,Heartbeat,1992,Clare Calbraith,1
Benedict Cumberbatch,Heartbeat,1992,Duncan Bell,1
Benedict Cumberbatch,Heartbeat,1992,Fiona Dolman,1
Benedict Cumberbatch,The Simpsons,1989,Dan Castellaneta,1
Benedict Cumberbatch,The Simpsons,1989,Hank Azaria,1
Benedict Cumberbatch,The Simpsons,1989,Tress MacNeille,1
Benedict Cumberbatch,The Simpsons,1989,Maggie Roswell,1
Benedict Cumberbatch,The Simpsons,1989,Harry Shearer,1
Benedict Cumberbatch,The Simpsons,1989,Julie Kavner,1
Benedict Cumberbatch,The Simpsons,1989,Nancy Cartwright,1
Benedict Cumberbatch,The Simpsons,1989,Marcia Wallace,1
Benedict Cumberbatch,The Simpsons,1989,Yeardley Smith,1
Benedict Cumberbatch,Saturday Night Live,1975,Darrell Hammond,1
Benedict Cumberbatch,Saturday Night Live,1975,Seth Meyers,1
Benedict Cumberbatch,Saturday Night Live,1975,Kenan Thompson,1
Benedict Cumberbatch,Saturday Night Live,1975,Amy Poehler,1
Benedict Cumberbatch,Saturday Night Live,1975,Kevin Nealon,1
Benedict Cumberbatch,Saturday Night Live,1975,Phil Hartman,1
Benedict Cumberbatch,Saturday Night Live,1975,Fred Armisen,1
Benedict Cumberbatch,Saturday Night Live,1975,Tim Meadows,1
Benedict Cumberbatch,Saturday Night Live,1975,Bobby Moynihan,1
Benedict Cumberbatch,Sherlock,2010,Benedict Cumberbatch,12
Benedict Cumberbatch,Sherlock,2010,Una Stubbs,12
Benedict Cumberbatch,Sherlock,2010,Rupert Graves,12
Benedict Cumberbatch,Sherlock,2010,Martin Freeman,12
Benedict Cumberbatch,Sherlock,2010,Amanda Abbington,12
Benedict Cumberbatch,Sherlock,2010,Jonathan Aris,12
Benedict Cumberbatch,Sherlock,2010,Andrew Scott,12
Benedict Cumberbatch,Sherlock,2010,Louise Brealey,12
Benedict Cumberbatch,Sherlock,2010,Mark Gatiss,12
Benedict Cumberbatch,WWI's Tunnels of Death The Big Dig,2012,Peter Doyle,2
Benedict Cumberbatch,WWI's Tunnels of Death The Big Dig,2012,Paul Reed,2
Benedict Cumberbatch,WWI's Tunnels of Death The Big Dig,2012,Alexandra Churchill,2
Benedict Cumberbatch,WWI's Tunnels of Death The Big Dig,2012,Benedict Cumberbatch,2
Benedict Cumberbatch,Small Island,2009,David Oyelowo,2
Benedict Cumberbatch,Small Island,2009,Ashley Walters,2
Benedict Cumberbatch,Small Island,2009,Naomie Harris,2
Benedict Cumberbatch,Small Island,2009,Shaun Parkes,2
Benedict Cumberbatch,Small Island,2009,Hugh Quarshie,2
Benedict Cumberbatch,Small Island,2009,Benedict Cumberbatch,2
Benedict Cumberbatch,Small Island,2009,Ruth Wilson,2
Benedict Cumberbatch,Small Island,2009,Nikki Amuka-Bird,2
Benedict Cumberbatch,Small Island,2009,Karl Johnson,2
Benedict Cumberbatch,Nathan Barley,2005,Rhys Thomas,2
Benedict Cumberbatch,Nathan Barley,2005,Julian Barratt,2
Benedict Cumberbatch,Nathan Barley,2005,Nicholas Burns,2
Benedict Cumberbatch,Nathan Barley,2005,Claire Keelan,2
Benedict Cumberbatch,Nathan Barley,2005,Nina Sosanya,2
Benedict Cumberbatch,Nathan Barley,2005,Noel Fielding,2
Benedict Cumberbatch,Nathan Barley,2005,Ben Whishaw,2
Benedict Cumberbatch,Nathan Barley,2005,Richard Ayoade,2
Benedict Cumberbatch,Nathan Barley,2005,Charlie Condou,2
Benedict Cumberbatch,Silent Witness,1996,William Gaminara,2
Benedict Cumberbatch,Silent Witness,1996,Samuel Timson,2
Benedict Cumberbatch,Silent Witness,1996,Laura Crossley,2
Benedict Cumberbatch,Silent Witness,1996,Tom Ward,2
Benedict Cumberbatch,Silent Witness,1996,Emilia Fox,2
Benedict Cumberbatch,Silent Witness,1996,Amanda Burton,2
Benedict Cumberbatch,Silent Witness,1996,Liz Carr,2
Benedict Cumberbatch,Silent Witness,1996,Joseph Timson,2
Benedict Cumberbatch,Silent Witness,1996,David Caves,2
Benedict Cumberbatch,Stephen Hawking's Grand Design,2012,Benedict Cumberbatch,3
Benedict Cumberbatch,Stephen Hawking's Grand Design,2012,Stephen Hawking,3
Benedict Cumberbatch,Into the Universe with Stephen Hawking,2010,Melissa Ricci,3
Benedict Cumberbatch,Into the Universe with Stephen Hawking,2010,Stephen Hawking,3
Benedict Cumberbatch,Into the Universe with Stephen Hawking,2010,Benedict Cumberbatch,3
Benedict Cumberbatch,To the Ends of the Earth,2005,Daniel Evans,3
Benedict Cumberbatch,To the Ends of the Earth,2005,Benedict Cumberbatch,3
Benedict Cumberbatch,To the Ends of the Earth,2005,Joanna Page,3
Benedict Cumberbatch,To the Ends of the Earth,2005,Robert Hobbs,3
Benedict Cumberbatch,To the Ends of the Earth,2005,Jared Harris,3
Benedict Cumberbatch,To the Ends of the Earth,2005,Victoria Hamilton,3
Benedict Cumberbatch,To the Ends of the Earth,2005,Jamie Sives,3
Benedict Cumberbatch,To the Ends of the Earth,2005,Sam Neill,3
Benedict Cumberbatch,To the Ends of the Earth,2005,Chris Walker,3
Benedict Cumberbatch,Dunkirk,2004,Benedict Cumberbatch,3
Benedict Cumberbatch,Dunkirk,2004,Simon Russell Beale,3
Benedict Cumberbatch,Dunkirk,2004,Timothy Dalton,3
Benedict Cumberbatch,Dunkirk,2004,read the rest.,3
Benedict Cumberbatch,Dunkirk,2004,Ricci Harnett,3
Benedict Cumberbatch,Dunkirk,2004,Phil Cornwell,3
Benedict Cumberbatch,Tipping the Velvet,2002,Rachael Stirling,3
Benedict Cumberbatch,Tipping the Velvet,2002,Jodhi May,3
Benedict Cumberbatch,Tipping the Velvet,2002,Alexei Sayle,3
Benedict Cumberbatch,Tipping the Velvet,2002,Anna Chancellor,3
Benedict Cumberbatch,Tipping the Velvet,2002,Keeley Hawes,3
Benedict Cumberbatch,Tipping the Velvet,2002,Johnny Vegas,3
Benedict Cumberbatch,Tipping the Velvet,2002,Sally Hawkins,3
Benedict Cumberbatch,Tipping the Velvet,2002,Benedict Cumberbatch,3
Benedict Cumberbatch,Tipping the Velvet,2002,John Bowe,3
Benedict Cumberbatch,Patrick Melrose,2018,Anna Madeley,5
Benedict Cumberbatch,Patrick Melrose,2018,Indira Varma,5
Benedict Cumberbatch,Patrick Melrose,2018,Anthony Boyle,5
Benedict Cumberbatch,Patrick Melrose,2018,Hugo Weaving,5
Benedict Cumberbatch,Patrick Melrose,2018,read the rest.,5
Benedict Cumberbatch,Patrick Melrose,2018,Jennifer Jason Leigh,5
Benedict Cumberbatch,Patrick Melrose,2018,Benedict Cumberbatch,5
Benedict Cumberbatch,Patrick Melrose,2018,Jessica Raine,5
Benedict Cumberbatch,Patrick Melrose,2018,Pip Torrens,5
Benedict Cumberbatch,Patrick Melrose,2018,Sebastian Maltz,5
Benedict Cumberbatch,Parade's End,2012,Janet McTeer,5
Benedict Cumberbatch,Parade's End,2012,Roger Allam,5
Benedict Cumberbatch,Parade's End,2012,Rupert Everett,5
Benedict Cumberbatch,Parade's End,2012,Rebecca Hall,5
Benedict Cumberbatch,Parade's End,2012,Adelaide Clemens,5
Benedict Cumberbatch,Parade's End,2012,Sasha Waddell,5
Benedict Cumberbatch,Parade's End,2012,Benedict Cumberbatch,5
Benedict Cumberbatch,Parade's End,2012,Tom Mison,5
Benedict Cumberbatch,Parade's End,2012,Miranda Richardson,5
Benedict Cumberbatch,The Last Enemy,2008,Paul Higgins,5
Benedict Cumberbatch,The Last Enemy,2008,Kieran O'Brien,5
Benedict Cumberbatch,The Last Enemy,2008,James Lance,5
Benedict Cumberbatch,The Last Enemy,2008,Robert Carlyle,5
