actor,show,year,top_cast,episodes
Olivia Colman,Rev.,2010,Steve Evets,19
Olivia Colman,Rev.,2010,Jimmy Akingbola,19
Olivia Colman,Rev.,2010,Tom Hollander,19
Olivia Colman,Rev.,2010,Olivia Colman,19
Olivia Colman,Rev.,2010,Lucy Liemann,19
Laurie Metcalf,Roseanne,1988,Michael Fishman,231
Laurie Metcalf,Roseanne,1988,Sara Gilbert,231
Laurie Metcalf,Roseanne,1988,Lecy Goranson,231
Laurie Metcalf,Roseanne,1988,Roseanne Barr,231
Laurie Metcalf,Roseanne,1988,John Goodman,231
Laurie Metcalf,Roseanne,1988,Sarah Chalke,231
Laurie Metcalf,Roseanne,1988,Glenn Quinn,231
Laurie Metcalf,Roseanne,1988,Laurie Metcalf,231
Laurie Metcalf,Roseanne,1988,Johnny Galecki,231
Naomie Harris,Runaway Bay,1992,Louis Mahoney,26
Naomie Harris,Runaway Bay,1992,Natasha Cashman,26
Naomie Harris,Runaway Bay,1992,Naomie Harris,26
Naomie Harris,Runaway Bay,1992,John Woodvine,26
Alicia Vikander,Second Avenue,2007,Christian Rinmad,103
Alicia Vikander,Second Avenue,2007,Gunilla Johansson,103
Alicia Vikander,Second Avenue,2007,Fyr Thorvald Str�_mberg,103
Alicia Vikander,Second Avenue,2007,Fortesa Hoti,103
Alicia Vikander,Second Avenue,2007,Jonas Bane,103
Alicia Vikander,Second Avenue,2007,Hans Mosesson,103
Alicia Vikander,Second Avenue,2007,Lena B. Nilsson,103
Alicia Vikander,Second Avenue,2007,Filip Berg,103
Alicia Vikander,Second Avenue,2007,Alicia Vikander,103
Dev Patel,Skins,2007,Larissa Wilson,25
Dev Patel,Skins,2007,Jack O'Connell,25
Dev Patel,Skins,2007,Mike Bailey,25
Dev Patel,Skins,2007,Joe Dempsie,25
Dev Patel,Skins,2007,April Pearson,25
Dev Patel,Skins,2007,Nicholas Hoult,25
Dev Patel,Skins,2007,Kaya Scodelario,25
Dev Patel,Skins,2007,Hannah Murray,25
Dev Patel,Skins,2007,Dev Patel,25
Rachel McAdams,Slings & Arrows,2003,Steven Ouimette,18
Rachel McAdams,Slings & Arrows,2003,Martha Burns,18
Rachel McAdams,Slings & Arrows,2003,Paul Gross,18
Rachel McAdams,Slings & Arrows,2003,Don McKellar,18
Rachel McAdams,Slings & Arrows,2003,Graham Harley,18
Rachel McAdams,Slings & Arrows,2003,Mark McKinney,18
Rachel McAdams,Slings & Arrows,2003,Leon Pownall,18
Rachel McAdams,Slings & Arrows,2003,SeՍn Cullen,18
Rachel McAdams,Slings & Arrows,2003,Susan Coyne,18
Bryan Cranston,Sneaky Pete,2015,Bryan Cranston,10
Bryan Cranston,Sneaky Pete,2015,Giovanni Ribisi,10
Bryan Cranston,Sneaky Pete,2015,Marin Ireland,10
Bryan Cranston,Sneaky Pete,2015,Michael Drayer,10
Bryan Cranston,Sneaky Pete,2015,Libe Barer,10
Bryan Cranston,Sneaky Pete,2015,Peter Gerety,10
Bryan Cranston,Sneaky Pete,2015,Jane Adams,10
Bryan Cranston,Sneaky Pete,2015,Margo Martindale,10
Bryan Cranston,Sneaky Pete,2015,Shane McRae,10
Regina King,Southland,2009,Shawn Hatosy,43
Regina King,Southland,2009,Emily Bergl,43
Regina King,Southland,2009,Ben McKenzie,43
Regina King,Southland,2009,C. Thomas Howell,43
Regina King,Southland,2009,Michael Cudlitz,43
Regina King,Southland,2009,Arija Bareikis,43
Regina King,Southland,2009,Kevin Alejandro,43
Regina King,Southland,2009,Regina King,43
Regina King,Southland,2009,Dorian Missick,43
Bryan Cranston,Supermansion,2015,Heidi Gardner,28
Bryan Cranston,Supermansion,2015,Seth Green,28
Bryan Cranston,Supermansion,2015,Keegan-Michael Key,28
Bryan Cranston,Supermansion,2015,Tucker Gilmore,28
Bryan Cranston,Supermansion,2015,Jillian Bell,28
Bryan Cranston,Supermansion,2015,Chris Pine,28
Bryan Cranston,Supermansion,2015,Zeb Wells,28
Bryan Cranston,Supermansion,2015,Tom Root,28
Bryan Cranston,Supermansion,2015,Bryan Cranston,28
Olivia Colman,That Mitchell and Webb Look,2006,Paterson Joseph,24
Olivia Colman,That Mitchell and Webb Look,2006,Mark Evans,24
Olivia Colman,That Mitchell and Webb Look,2006,David Mitchell,24
