web-scraper-order,web-scraper-start-url,productlink,productlink-href,productname,productprice,color
"1575148560-4970","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","FLORAL PRINT DRESS","https://www.zara.com/us/en/floral-print-dress-p02587152.html","FLORAL PRINT DRESS Details","49.90 USD","Red"
"1575152092-5540","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","POINTELLE DRESS","https://www.zara.com/us/en/pointelle-dress-p02142101.html","POINTELLE DRESS Details","49.90 USD","Black"
"1575148905-5133","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","STRAPPY DRESS","https://www.zara.com/us/en/strappy-dress-p05039900.html","STRAPPY DRESS Details","29.90 USD","Black"
"1575149573-5454","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","CONTRASTING LACE DRESS","https://www.zara.com/us/en/contrasting-lace-dress-p05039927.html","CONTRASTING LACE DRESS Details","35.90 USD","Black"
"1575148874-5118","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","BUTTONED STRIPED JUMPSUIT","https://www.zara.com/us/en/buttoned-striped-jumpsuit-p08089768.html","BUTTONED STRIPED JUMPSUIT Details","69.90 USD","Blue / White"
"1575148901-5131","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","PRINTED PLEATED DRESS","https://www.zara.com/us/en/printed-pleated-dress-p01131809.html","PRINTED PLEATED DRESS Details","39.90 USD","Ecru / Black"
"1575154456-5723","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","TULLE DOT DRESS","https://www.zara.com/us/en/tulle-dot-dress-p07455300.html","TULLE DOT DRESS Details","49.90 USD","Black"
"1575148917-5139","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","JUMPSUIT WITH BELT","https://www.zara.com/us/en/jumpsuit-with-belt-p00219801.html","JUMPSUIT WITH BELT Details","39.90 USD","Russet"
"1575153708-5687","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","PETER PAN COLLAR JACQUARD DRESS","https://www.zara.com/us/en/peter-pan-collar-jacquard-dress-p04215801.html","PETER PAN COLLAR JACQUARD DRESS Details","25.90 USD","Black"
"1575148372-4845","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","null","","","",""
"1575148594-4985","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","METALLIC THREAD RUFFLED DRESS","https://www.zara.com/us/en/metallic-thread-ruffled-dress-p01822101.html","METALLIC THREAD RUFFLED DRESS Details","49.90 USD","Blue / Green"
"1575148691-5031","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","PRINT DRESS","https://www.zara.com/us/en/print-dress-p07999415.html","PRINT DRESS Details","49.90 USD","only one"
"1575148830-5097","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","RUSTIC WRAP JUMPSUIT","https://www.zara.com/us/en/rustic-wrap-jumpsuit-p01971154.html","RUSTIC WRAP JUMPSUIT Details","69.90 USD","Sand / Marl"
"1575149270-5308","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","VOLUMINOUS PLAID DRESS","https://www.zara.com/us/en/voluminous-plaid-dress-p07385323.html","VOLUMINOUS PLAID DRESS Details","49.90 USD","only one"
"1575148807-5086","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","GATHERED WAIST DRESS","https://www.zara.com/us/en/gathered-waist-dress-p05039627.html","GATHERED WAIST DRESS Details","35.90 USD","taupe brown"
"1575149097-5226","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","ANIMAL PRINT MINI DRESS","https://www.zara.com/us/en/animal-print-mini-dress-p08253228.html","ANIMAL PRINT MINI DRESS Details","49.90 USD","Ecru / Black"
"1575148721-5045","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","BELTED MINI DRESS","https://www.zara.com/us/en/belted-mini-dress-p07742512.html","BELTED MINI DRESS Details","89.90 USD","Black"
"1575148376-4881","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","SOFT FEEL DRESS","https://www.zara.com/us/en/soft-feel-dress-p01014905.html","SOFT FEEL DRESS Details","19.90 USD","Gray"
"1575149336-5340","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","ELASTIC DETAIL MIDI DRESS","https://www.zara.com/us/en/elastic-detail-midi-dress-p09874108.html","ELASTIC DETAIL MIDI DRESS Details","49.90 USD","Black"
