web-scraper-order,web-scraper-start-url,productlink,productlink-href,productname,productprice,color
"1575162759-6512","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","©PAWS INC. GARFIELD T-SHIRT","https://www.zara.com/us/en/%C2%A9paws-inc--garfield-t-shirt-p00962302.html","©PAWS INC. GARFIELD T-SHIRT Details","25.90 USD","White"
"1575162643-6459","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","ESSENCE TIE DYE T-SHIRT","https://www.zara.com/us/en/essence-tie-dye-t-shirt-p00495301.html","ESSENCE TIE DYE T-SHIRT Details","29.90 USD","Khaki"
"1575162996-6613","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","PIZZA PRINT T-SHIRT","https://www.zara.com/us/en/pizza-print-t-shirt-p00679318.html","PIZZA PRINT T-SHIRT Details","17.90 USD","Oyster White"
"1575162904-6571","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","TEXTURED WEAVE SHIRT","https://www.zara.com/us/en/textured-weave-shirt-p02888303.html","TEXTURED WEAVE SHIRT Details","null","Burgundy"
"1575162708-6488","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","SHIRT WITH TEXT","https://www.zara.com/us/en/shirt-with-text-p00962306.html","SHIRT WITH TEXT Details","17.90 USD","White"
"1575162641-6458","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","ESSENCE POCKET T-SHIRT","https://www.zara.com/us/en/essence-pocket-t-shirt-p04770300.html","ESSENCE POCKET T-SHIRT Details","29.90 USD","Light tan"
"1575162577-6415","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","null","","","",""
"1575163002-6616","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","CONTRASTING ESSENCE SHIRT","https://www.zara.com/us/en/contrasting-essence-shirt-p02649300.html","CONTRASTING ESSENCE SHIRT Details","29.90 USD","Charcoal gray"
"1575162594-6437","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","COLOR BLOCK T-SHIRT","https://www.zara.com/us/en/color-block-t-shirt-p09240320.html","COLOR BLOCK T-SHIRT Details","17.90 USD","Mustard"
"1575162965-6598","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","STRIPED PRINT SHIRT","https://www.zara.com/us/en/striped-print-shirt-p00977307.html","STRIPED PRINT SHIRT Details","17.90 USD","White / Navy"
"1575162879-6559","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","TEXT PRINT T-SHIRT","https://www.zara.com/us/en/text-print-t-shirt-p00977314.html","TEXT PRINT T-SHIRT Details","29.90 USD","Black"
"1575162832-6538","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","TEXTURED ASYMMETRIC T-SHIRT","https://www.zara.com/us/en/textured-asymmetric-t-shirt-p00722344.html","TEXTURED ASYMMETRIC T-SHIRT Details","35.90 USD","Gray"
"1575162692-6481","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","BASIC STRIPED T-SHIRT","https://www.zara.com/us/en/basic-striped-t-shirt-p09240413.html","BASIC STRIPED T-SHIRT Details","17.90 USD","Navy blue"
"1575162989-6610","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","PLASTICIZED PRINT T-SHIRT","https://www.zara.com/us/en/plasticized-print-t-shirt-p00962322.html","PLASTICIZED PRINT T-SHIRT Details","29.90 USD","Sea green"
"1575162581-6431","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","","https://www.zara.com/us/en/-p01887411.html","Details","9.90 USD","Burnt orange"
"1575162577-6414","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","null","","","",""
